Latitude,Longitude,County
-93.89653794,30.12807126,Orange County
-98.31299522,32.75316856,Palo Pinto County
-94.30552858,32.16222886,Panola County
-97.80472194,32.77852261,Parker County
-102.784594,34.53014507,Parmer County
-102.7235743,30.78100044,Pecos County
-94.82994949,30.79250963,Polk County
-101.8940484,35.40128927,Potter County
-104.2405552,29.99977786,Presidio County
-95.79347545,32.87004212,Rains County
-101.8968527,34.96594288,Randall County
-101.5230108,31.36617698,Reagan County
-99.82215881,29.83182711,Real County
-95.0501886,33.62074539,Red River County
-103.693143,31.32307061,Reeves County
-97.16546961,28.32681413,Refugio County
-100.8135689,35.8385577,Roberts County
-96.51272568,31.02705415,Robertson County
-96.40780584,32.89786769,Rockwall County
-99.97624799,31.83105393,Runnels County
-94.76169577,32.10803224,Rusk County
-93.85170439,31.34321941,Sabine County
-94.16809762,31.39427005,San Augustine County
-95.16683273,30.57948905,San Jacinto County
-97.51859857,28.00922186,San Patricio County
-98.81754295,31.15520543,San Saba County
-100.538097,30.89661056,Schleicher County
-100.9165071,32.74720063,Scurry County
-99.35403034,32.7360276,Shackelford County
-94.14495261,31.79242191,Shelby County
-101.8933822,36.27765824,Sherman County
-95.26909511,32.37514553,Smith County
-97.77456553,32.22229511,Somervell County
-98.73834895,26.56212627,Starr County
-98.83612016,32.73584155,Stephens County
-101.0500699,31.82786516,Sterling County
-100.255259,33.17842158,Stonewall County
-100.5382263,30.49747152,Sutton County
-101.734951,34.53064989,Swisher County
-97.29116473,32.77185236,Tarrant County
-99.89003941,32.30138229,Taylor County
-102.0764533,30.22502597,Terrell County
-102.335157,33.17373729,Terry County
-99.21236832,33.17753907,Throckmorton County
-94.96509786,33.2160906,Titus County
-100.4620678,31.4044442,Tom Green County
-97.78194654,30.33423319,Travis County
-95.13551682,31.0885069,Trinity County
-94.37651432,30.7712607,Tyler County
-94.94132011,32.7362827,Upshur County
-102.0430005,31.36853957,Upton County
-99.76203107,29.35669829,Uvalde County
-101.15171,29.89300587,Val Verde County
-95.8364862,32.56368961,Van Zandt County
-96.97176602,28.79640594,Victoria County
-95.57224172,30.73899492,Walker County
-95.98768942,30.01093722,Waller County
-103.1024636,31.509424,Ward County
-96.40356575,30.2145299,Washington County
-99.33170164,27.76102524,Webb County
-96.22197375,29.2778362,Wharton County
-100.2697634,35.40129002,Wheeler County
-98.70153389,33.98421585,Wichita County
-99.24089568,34.08044953,Wilbarger County
-97.64303323,26.47132899,Willacy County
-97.60105467,30.64834941,Williamson County
-98.08621015,29.17315896,Wilson County
-103.0484794,31.85008609,Winkler County
-97.65444124,33.21585061,Wise County
-95.38206498,32.78634374,Wood County
-102.8278792,33.17293501,Yoakum County
-98.68781396,33.17670764,Young County
-99.16860134,27.00089072,Zapata County
-99.76102001,28.86530621,Zavala County
