County,Poverty_Estimate,Poverty_Percent,Median_Household_Income,Population,Unemployment_Rate,Violent_Crime,Property_Crime,Total_Crime
Trinity County,2581,17.7,40486,14651,5.1,18,167,185
Tyler County,3584,18.2,44041,21672,6.6,67,254,321
Upshur County,6455,15.9,48554,41753,4.2,74,235,309
Upton County,512,14.2,53867,3657,3.4,1,18,19
Uvalde County,5999,22.9,39725,26741,4.2,20,82,102
Val Verde County,8950,18.9,44276,49025,3.8,27,102,129
Van Zandt County,8598,15.6,51152,56590,3.5,1,156,157
Victoria County,13855,15.4,51646,92084,3.8,77,372,449
Walker County,14525,26.1,43681,72971,4.2,66,210,276
Waller County,7776,15.9,59807,55246,4.2,71,349,420
Ward County,1611,13.9,53621,11998,2.5,29,160,189
Washington County,4566,13.8,54332,35882,3.6,39,90,129
Webb County,69860,25.7,44919,276652,3.7,71,250,321
Wharton County,6909,16.8,48040,41556,3.7,69,229,298
Wheeler County,721,14,48018,5056,3.1,0,31,31
Wichita County,21221,17.8,47477,132230,3.4,32,139,171
Wilbarger County,1905,15.3,44735,12769,4.1,1,18,19
Willacy County,6369,35,33171,21358,9.8,64,194,258
Williamson County,35829,6.4,87817,590551,3,195,1394,1589
Wilson County,5400,10.9,71207,51070,3.1,15,188,203
Winkler County,1069,14.1,56781,8010,2.8,10,61,71
Wise County,6643,9.9,66387,69984,3.4,110,351,461
Wood County,6625,15.3,48384,45539,4.2,73,201,274
Yoakum County,1028,12.1,61560,8713,2.9,5,30,35
Young County,2468,13.9,49301,18010,3.2,8,39,47
Zapata County,4529,32.1,33160,14179,5.5,7,202,209
Zavala County,3701,32,30076,11840,9.6,6,38,44
