,won
8613,0
29504,0
57938,0
44227,0
65850,0
37519,1
10612,0
52097,0
9582,0
37277,0
32963,0
60792,0
31222,0
46693,0
67209,0
45764,0
3605,0
59354,0
16289,0
12223,0
15325,0
6281,0
13369,0
14075,0
70270,0
21397,0
24524,0
56117,0
52965,1
68592,0
39412,0
42964,0
71436,0
48845,0
33473,0
34674,0
40962,0
75838,0
1701,0
24376,0
60794,0
74482,0
55390,0
48318,0
52291,0
54933,0
28533,0
13236,0
21955,0
52470,1
65265,0
9064,0
9236,0
49119,0
55694,0
40112,0
38441,0
68739,0
61417,0
64795,0
50107,0
12785,0
42256,0
21672,0
54926,0
63187,1
67818,0
3580,0
60293,0
3323,0
653,1
38376,1
23667,0
74292,0
40085,0
75861,0
61962,0
39768,0
32162,0
67374,0
5840,1
24332,0
34206,0
70447,0
73179,0
53426,1
26296,0
38772,0
20962,0
50207,0
10862,0
23039,1
64437,0
46363,0
53823,0
10854,0
58330,0
23946,0
62338,0
25222,0
39057,0
17904,0
52724,0
15974,0
14364,0
32426,0
70477,0
48320,0
38866,0
58475,0
69934,0
35519,0
10782,0
36915,0
33717,0
14808,0
63970,0
42836,0
25725,0
19955,1
73068,0
73845,0
11434,0
70993,0
10624,0
58782,0
72094,0
31653,0
2727,0
30256,0
76059,0
18850,0
44950,0
42033,0
70861,0
25651,0
5252,0
16295,0
73441,0
40907,0
20415,1
73553,0
63795,0
39902,0
36267,0
5222,0
10863,0
22898,0
42228,1
64208,0
11926,0
61235,0
12051,0
20758,0
65528,0
27524,0
29463,0
56482,0
8240,1
13046,0
10323,0
63176,1
53681,0
38930,0
55146,0
284,0
28028,0
3905,0
15240,0
12054,0
4965,1
55639,1
52197,0
45844,0
63560,0
54665,0
24625,0
36029,0
37920,0
53158,0
22966,0
40052,0
42457,0
50138,0
34138,0
62089,0
41960,0
44337,0
74057,0
8734,0
47531,0
30911,0
5612,0
59310,0
4514,0
34348,0
23134,0
65315,0
31692,0
40554,0
28282,0
6783,0
19603,0
74613,0
64743,0
2932,0
29606,0
12640,0
59849,0
30177,0
46437,0
29608,0
64409,0
29773,0
37303,0
65728,0
44423,0
27074,0
11893,0
68037,0
50822,0
37387,0
22308,0
57414,0
27671,0
10243,0
1281,0
14264,0
20397,1
39414,0
71065,0
23510,0
5187,0
73737,1
41505,1
22077,0
14036,0
55366,0
58203,0
2408,0
27959,0
1565,0
12662,0
5241,0
10212,0
67663,0
21124,0
39805,0
18723,0
23733,0
74768,0
32336,0
76313,0
3823,0
61166,0
61489,0
70753,0
50927,0
10887,0
1810,0
46280,0
24491,0
1819,0
44840,0
5441,0
37908,0
49048,0
38418,0
23656,0
22894,0
45959,0
44334,0
10849,0
39546,1
37505,0
8312,0
4484,0
10973,0
66461,0
57182,1
29368,0
11374,0
71103,0
36158,0
4659,0
40912,0
63315,0
56455,1
39044,0
44806,0
8299,0
70191,0
42032,0
75911,0
44417,0
36880,0
27476,0
3469,0
33853,0
7406,0
7198,0
27393,0
978,0
51900,0
2064,0
39812,0
23002,0
59798,0
36224,0
18380,0
26748,0
62796,0
61620,0
37465,0
21429,0
23945,0
20384,0
52722,0
76263,0
36003,0
8511,0
34874,0
19435,0
17786,0
54229,0
57649,0
76557,0
37169,0
187,0
2904,0
62185,0
67554,0
35865,0
52435,0
44807,0
1142,1
56849,1
6729,0
62804,0
73224,0
34849,0
43964,0
27389,0
71568,1
73462,0
34845,0
48120,0
48322,0
63318,0
58351,0
9892,0
11035,0
20352,0
5221,0
40107,1
5017,0
6660,0
10494,0
39891,0
34726,0
65494,0
24310,0
11213,0
3599,0
55848,1
31921,0
68224,0
45030,0
59435,0
74039,0
13201,0
66306,0
64118,0
15493,0
65998,0
4970,0
55377,0
6051,0
49875,0
60394,0
46097,0
71486,0
339,0
24118,0
20044,0
8580,0
43644,1
75825,0
35050,0
39101,0
67987,0
30859,0
15661,0
25625,1
21064,0
55692,0
3695,0
73185,0
68527,0
5376,0
61630,0
13320,0
37299,0
72624,0
48872,0
27273,0
20673,0
47925,0
889,0
43885,0
55148,0
5629,0
15981,0
28106,1
11828,0
56688,0
25134,0
25716,0
50204,0
69937,0
13354,0
12391,0
4778,0
55636,0
28295,0
60327,1
27945,1
11477,0
39260,1
9031,0
39515,0
43784,0
74032,0
50827,0
73371,0
2958,0
11756,0
7928,0
69156,0
24119,0
23704,0
48233,1
38932,0
53521,0
2304,0
48985,0
5328,0
9963,0
410,0
20165,0
16559,0
40406,0
7411,0
74778,0
1975,0
40705,0
18882,0
66334,0
11596,0
34747,0
30903,0
9905,0
37018,0
54450,0
7369,0
31664,0
25132,0
49161,0
47222,0
50848,0
36057,0
13233,0
13196,0
4220,0
74886,0
32429,0
36742,0
5469,0
71610,0
45983,0
61742,0
383,0
56545,1
26195,1
39035,0
54034,0
11538,0
30535,0
72464,0
57236,0
57513,0
9690,0
30277,0
5145,0
69114,0
26439,0
17874,0
65305,1
37599,0
23915,0
67726,0
12500,0
21044,0
5532,0
36104,0
32290,0
54909,0
25404,0
59572,0
3161,0
56478,0
47280,0
28563,0
29466,0
32137,0
135,0
60384,0
44734,0
24252,0
26844,0
48620,1
73413,0
38000,1
76213,0
60970,0
2905,0
44415,0
30299,0
39355,0
31212,0
30430,1
75178,0
51883,0
39507,0
2986,0
19363,0
65807,0
16870,0
50619,0
9433,1
38760,0
40076,0
24691,0
10539,0
17734,0
4259,0
14433,0
2493,1
38675,0
52090,0
24280,0
15622,0
64201,0
58911,0
75749,0
47198,0
50193,0
27142,0
28100,0
17591,0
59151,0
15002,0
29815,0
33266,0
46907,0
75430,0
27828,0
6258,0
21753,0
140,0
32291,0
14248,0
50699,0
44418,0
3874,0
71368,0
30058,0
44563,0
51720,0
17569,0
19632,0
15148,0
8034,1
64082,0
41417,0
29219,0
53694,0
21040,0
59018,0
62812,0
50923,0
40649,0
65577,0
13731,0
19977,0
71495,0
61813,0
71248,0
10057,0
52198,0
20268,0
32370,0
72297,0
52432,0
70921,0
16564,0
54462,0
2771,0
5902,0
49871,0
45565,0
67186,0
31033,0
50331,0
42314,0
47203,0
62716,0
60975,0
76270,0
34753,0
29870,0
15718,0
43465,0
71812,0
30179,0
55033,0
53569,0
35495,0
35064,1
146,0
53049,1
4783,0
30381,0
44953,1
29260,0
25874,0
70451,0
63519,0
64253,0
72255,0
56536,0
62240,0
27616,0
17352,0
27269,1
60959,0
46518,0
2502,0
19641,0
24934,0
5975,0
49040,0
18147,0
19914,0
989,0
6557,0
76063,0
64845,1
59644,1
66101,0
45675,0
70760,0
8549,0
21838,0
43513,0
11377,0
58412,0
59829,1
17290,0
46339,0
38551,0
4477,0
4821,0
25378,0
13127,0
54722,1
64008,0
7285,0
23023,0
56525,0
27465,0
11410,1
37098,0
11581,0
8514,0
43788,0
69170,0
3447,0
54321,0
40418,0
19318,0
70934,0
12820,0
39662,0
24477,0
27233,0
62123,0
32439,0
37233,0
29484,1
12018,0
65436,0
41645,0
7001,0
40746,0
46472,1
4072,0
50184,0
24050,0
30321,0
41542,0
5131,0
